permutation,primary,weighted,within_compartment,synapse_positions
64,2.02785e+08,3.2655e+10,1.28039e+08,1.75794e+08
65,2.03414e+08,3.25207e+10,1.27651e+08,1.76326e+08
66,2.02318e+08,3.29365e+10,1.2789e+08,1.75366e+08
67,2.03268e+08,3.31632e+10,1.27751e+08,1.76323e+08
68,2.0239e+08,3.21752e+10,1.27832e+08,1.75535e+08
69,2.03673e+08,3.27467e+10,1.27552e+08,1.76191e+08
70,2.03209e+08,3.22573e+10,1.27984e+08,1.76411e+08
71,2.03004e+08,3.16883e+10,1.27866e+08,1.76186e+08
72,2.03378e+08,3.21347e+10,1.28216e+08,1.76639e+08
73,2.02409e+08,3.21794e+10,1.27762e+08,1.75292e+08
74,2.02702e+08,3.17681e+10,1.28029e+08,1.75307e+08
75,2.03244e+08,3.29399e+10,1.27892e+08,1.76095e+08
76,2.03132e+08,3.20665e+10,1.28256e+08,1.76379e+08
77,2.0257e+08,3.17783e+10,1.27733e+08,1.7572e+08
78,2.03054e+08,3.24504e+10,1.28055e+08,1.76008e+08
79,2.03533e+08,3.28509e+10,1.27879e+08,1.76522e+08
80,2.02597e+08,3.32151e+10,1.27643e+08,1.75515e+08
81,2.02641e+08,3.22523e+10,1.27953e+08,1.7546e+08
82,2.03249e+08,3.1787e+10,1.2795e+08,1.7642e+08
83,2.0297e+08,3.19969e+10,1.28124e+08,1.75934e+08
84,2.02878e+08,3.2119e+10,1.28306e+08,1.76193e+08
85,2.02949e+08,3.28497e+10,1.27873e+08,1.76141e+08
86,2.03033e+08,3.1567e+10,1.28015e+08,1.7592e+08
87,2.03567e+08,3.31788e+10,1.27827e+08,1.762e+08
88,2.03032e+08,3.28178e+10,1.27723e+08,1.7603e+08
89,2.03344e+08,3.22706e+10,1.27678e+08,1.76148e+08
90,2.02829e+08,3.19199e+10,1.27518e+08,1.75797e+08
91,2.02911e+08,3.16342e+10,1.2783e+08,1.76113e+08
92,2.03393e+08,3.19619e+10,1.28225e+08,1.76662e+08
93,2.03473e+08,3.2174e+10,1.28252e+08,1.76365e+08
94,2.02933e+08,3.28156e+10,1.27754e+08,1.76041e+08
95,2.02645e+08,3.26524e+10,1.27938e+08,1.75747e+08
96,2.03312e+08,3.23189e+10,1.28104e+08,1.76171e+08
97,2.02979e+08,3.21067e+10,1.2761e+08,1.75704e+08
98,2.02708e+08,3.16732e+10,1.27946e+08,1.75871e+08
99,2.03113e+08,3.22573e+10,1.27984e+08,1.7615e+08
100,2.02955e+08,3.2763e+10,1.28035e+08,1.76016e+08
101,2.03062e+08,3.22627e+10,1.28122e+08,1.76166e+08
102,2.03421e+08,3.18864e+10,1.28213e+08,1.76493e+08
103,2.03147e+08,3.29913e+10,1.27515e+08,1.75845e+08
104,2.03018e+08,3.18979e+10,1.28092e+08,1.75734e+08
105,2.02884e+08,3.17258e+10,1.28036e+08,1.76271e+08
106,2.03455e+08,3.24013e+10,1.28196e+08,1.76554e+08
107,2.02671e+08,3.32362e+10,1.27783e+08,1.75657e+08
108,2.03112e+08,3.2623e+10,1.27886e+08,1.75793e+08
109,2.02981e+08,3.27989e+10,1.28259e+08,1.76131e+08
110,2.02347e+08,3.18898e+10,1.28033e+08,1.75419e+08
111,2.03331e+08,3.2905e+10,1.27742e+08,1.76474e+08
112,2.02966e+08,3.23037e+10,1.2776e+08,1.75955e+08
113,2.03257e+08,3.33724e+10,1.2801e+08,1.75904e+08
114,2.03027e+08,3.24717e+10,1.2796e+08,1.76269e+08
115,2.02655e+08,3.17098e+10,1.27854e+08,1.75522e+08
116,2.03487e+08,3.33533e+10,1.28003e+08,1.76458e+08
117,2.03903e+08,3.15637e+10,1.27929e+08,1.77078e+08
118,2.03283e+08,3.19154e+10,1.27959e+08,1.76479e+08
119,2.03197e+08,3.14902e+10,1.27946e+08,1.7621e+08
